Date,Open,High,Low,Close,Volume
2025-02-13 22:30:00,2925.89,2927.78,2925.74,2927.16,1338
2025-02-13 22:35:00,2927.15,2928.01,2926.82,2927.66,1192
2025-02-13 22:40:00,2927.65,2928.54,2927.41,2927.72,951
2025-02-13 22:45:00,2927.74,2927.85,2924.8,2926.63,1327
2025-02-13 22:50:00,2926.64,2927.85,2926.16,2927.74,1498
2025-02-13 22:55:00,2927.78,2928.78,2927.31,2928.2,1226
2025-02-13 23:00:00,2928.22,2928.74,2928.05,2928.61,417
2025-02-13 23:05:00,2928.58,2928.91,2928.41,2928.64,330
2025-02-13 23:10:00,2928.64,2928.85,2928.07,2928.28,421
2025-02-13 23:15:00,2928.27,2928.62,2927.96,2928.31,428
2025-02-13 23:20:00,2928.3,2928.95,2928.27,2928.59,492
2025-02-13 23:25:00,2928.45,2928.56,2927.89,2928.24,499
2025-02-13 23:30:00,2928.22,2928.7,2928.18,2928.41,454
2025-02-13 23:35:00,2928.42,2929.3,2928.35,2929.28,493
2025-02-13 23:40:00,2929.32,2929.56,2928.89,2929.45,548
2025-02-13 23:45:00,2929.43,2929.43,2928.72,2928.9,530
2025-02-13 23:50:00,2928.89,2929.08,2928.42,2928.82,837
2025-02-13 23:55:00,2928.85,2928.85,2927.99,2928.47,459
2025-02-14 01:00:00,2927.1,2928.97,2927.1,2927.69,624
2025-02-14 01:05:00,2927.71,2928.28,2927.42,2927.91,337
2025-02-14 01:10:00,2927.91,2928.18,2927.33,2928.04,437
2025-02-14 01:15:00,2928.0,2928.97,2927.95,2928.64,504
2025-02-14 01:20:00,2928.66,2930.28,2928.66,2929.86,531
2025-02-14 01:25:00,2929.78,2931.33,2929.36,2930.61,649
2025-02-14 01:30:00,2930.61,2931.56,2930.54,2931.56,624
2025-02-14 01:35:00,2931.54,2932.35,2931.2,2931.53,585
2025-02-14 01:40:00,2931.52,2931.68,2930.75,2931.18,667
2025-02-14 01:45:00,2931.14,2931.53,2930.53,2930.91,666
2025-02-14 01:50:00,2930.89,2932.2,2930.82,2931.51,676
2025-02-14 01:55:00,2931.53,2931.56,2930.83,2931.0,455
2025-02-14 02:00:00,2931.07,2931.44,2930.04,2930.11,1001
2025-02-14 02:05:00,2930.14,2930.14,2928.48,2928.61,783
2025-02-14 02:10:00,2928.66,2928.68,2927.58,2927.97,734
2025-02-14 02:15:00,2927.89,2928.87,2927.59,2928.69,1005
2025-02-14 02:20:00,2928.69,2929.01,2928.08,2928.83,995
2025-02-14 02:25:00,2928.84,2929.17,2928.31,2928.41,581
2025-02-14 02:30:00,2928.41,2928.88,2927.79,2927.88,861
2025-02-14 02:35:00,2927.89,2929.06,2927.45,2928.9,727
2025-02-14 02:40:00,2928.91,2929.07,2928.15,2928.28,570
2025-02-14 02:45:00,2928.24,2928.61,2927.71,2927.78,439
2025-02-14 02:50:00,2927.78,2928.17,2927.76,2927.93,320
2025-02-14 02:55:00,2927.98,2928.37,2927.75,2927.84,323
2025-02-14 03:00:00,2927.83,2931.2,2927.83,2929.15,1606
2025-02-14 03:05:00,2929.17,2933.01,2929.12,2932.99,1467
2025-02-14 03:10:00,2932.95,2933.45,2931.57,2931.61,1744
2025-02-14 03:15:00,2931.62,2932.95,2931.62,2932.5,1591
2025-02-14 03:20:00,2932.55,2933.8,2932.16,2933.39,1642
2025-02-14 03:25:00,2933.37,2933.81,2930.74,2931.78,1325
2025-02-14 03:30:00,2931.77,2932.52,2930.58,2932.25,1490
2025-02-14 03:35:00,2932.25,2932.36,2931.08,2931.82,1304
2025-02-14 03:40:00,2931.85,2931.97,2929.97,2930.43,1539
2025-02-14 03:45:00,2930.39,2931.92,2929.8,2930.57,1382
2025-02-14 03:50:00,2930.49,2930.49,2928.54,2929.99,1313
2025-02-14 03:55:00,2930.03,2930.39,2929.38,2929.76,1206
2025-02-14 04:00:00,2929.75,2930.41,2927.41,2928.15,1300
2025-02-14 04:05:00,2928.16,2928.81,2927.64,2928.3,1148
2025-02-14 04:10:00,2928.22,2928.35,2926.52,2927.95,1511
2025-02-14 04:15:00,2927.94,2927.98,2925.81,2927.44,1145
2025-02-14 04:20:00,2927.45,2928.44,2926.25,2928.34,1023
2025-02-14 04:25:00,2928.35,2928.39,2926.97,2927.59,798
2025-02-14 04:30:00,2927.62,2928.58,2927.11,2927.72,1469
2025-02-14 04:35:00,2927.68,2928.55,2927.16,2928.02,1098
2025-02-14 04:40:00,2928.01,2928.39,2926.21,2927.04,1162
2025-02-14 04:45:00,2927.05,2928.12,2926.78,2927.91,859
2025-02-14 04:50:00,2927.92,2928.5,2927.24,2927.92,1221
2025-02-14 04:55:00,2927.91,2928.17,2927.04,2927.32,1049
2025-02-14 05:00:00,2927.31,2929.94,2927.19,2929.87,1085
2025-02-14 05:05:00,2929.86,2930.02,2928.95,2929.41,928
2025-02-14 05:10:00,2929.38,2929.57,2928.51,2928.98,1069
2025-02-14 05:15:00,2928.97,2929.97,2928.92,2929.54,899
2025-02-14 05:20:00,2929.47,2930.2,2928.89,2929.22,1057
2025-02-14 05:25:00,2929.24,2929.27,2928.2,2928.96,1216
2025-02-14 05:30:00,2928.94,2929.06,2927.83,2927.9,1028
2025-02-14 05:35:00,2927.91,2928.09,2926.59,2926.89,809
2025-02-14 05:40:00,2926.88,2926.96,2923.25,2924.15,1000
2025-02-14 05:45:00,2924.14,2925.8,2923.33,2924.39,1239
2025-02-14 05:50:00,2924.38,2924.61,2923.3,2923.67,813
2025-02-14 05:55:00,2923.67,2925.03,2923.3,2924.35,624
2025-02-14 06:00:00,2924.34,2926.03,2923.72,2925.57,774
2025-02-14 06:05:00,2925.6,2925.84,2924.86,2925.49,608
2025-02-14 06:10:00,2925.47,2925.49,2924.17,2924.85,527
2025-02-14 06:15:00,2924.85,2926.03,2924.83,2925.87,538
2025-02-14 06:20:00,2925.88,2926.39,2925.44,2926.14,671
2025-02-14 06:25:00,2926.14,2927.17,2925.93,2926.21,911
2025-02-14 06:30:00,2926.2,2926.53,2925.5,2926.14,557
2025-02-14 06:35:00,2926.12,2926.86,2926.03,2926.82,748
2025-02-14 06:40:00,2926.8,2927.15,2925.96,2926.89,699
2025-02-14 06:45:00,2926.91,2928.84,2926.68,2928.07,888
2025-02-14 06:50:00,2928.06,2928.55,2927.25,2928.31,1173
2025-02-14 06:55:00,2928.28,2929.16,2928.25,2928.61,997
2025-02-14 07:00:00,2928.64,2929.39,2927.89,2928.53,1291
2025-02-14 07:05:00,2928.51,2928.81,2927.79,2928.13,1004
2025-02-14 07:10:00,2928.12,2928.77,2927.85,2928.68,625
2025-02-14 07:15:00,2928.65,2929.28,2928.16,2928.54,768
2025-02-14 07:20:00,2928.53,2929.3,2928.38,2928.99,903
2025-02-14 07:25:00,2929.03,2929.27,2928.4,2928.74,835
2025-02-14 07:30:00,2928.76,2930.15,2927.22,2927.42,1579
2025-02-14 07:35:00,2927.41,2929.12,2926.62,2928.28,1453
2025-02-14 07:40:00,2928.25,2929.8,2928.13,2929.7,1130
2025-02-14 07:45:00,2929.76,2930.9,2929.41,2929.75,1502
2025-02-14 07:50:00,2929.72,2932.27,2929.68,2931.31,1384
2025-02-14 07:55:00,2931.42,2931.74,2930.54,2930.89,1196
2025-02-14 08:00:00,2930.9,2931.76,2930.48,2931.51,1637
2025-02-14 08:05:00,2931.53,2932.71,2930.74,2932.59,1564
2025-02-14 08:10:00,2932.61,2932.72,2929.83,2931.09,1737
2025-02-14 08:15:00,2931.08,2933.24,2930.74,2932.65,1292
2025-02-14 08:20:00,2932.63,2933.08,2931.92,2932.72,1535
2025-02-14 08:25:00,2932.7,2933.53,2932.23,2933.06,1461
2025-02-14 08:30:00,2933.08,2933.8,2932.6,2933.72,1550
2025-02-14 08:35:00,2933.71,2934.07,2933.04,2934.01,1070
2025-02-14 08:40:00,2933.99,2936.3,2933.7,2936.16,1222
2025-02-14 08:45:00,2936.16,2936.67,2935.25,2935.72,1574
2025-02-14 08:50:00,2935.73,2935.89,2933.36,2934.07,1727
2025-02-14 08:55:00,2934.09,2934.76,2933.37,2934.39,901
2025-02-14 09:00:00,2934.37,2934.42,2931.97,2933.04,1255
2025-02-14 09:05:00,2933.05,2934.37,2932.86,2933.56,1219
2025-02-14 09:10:00,2933.57,2934.39,2932.82,2933.01,1144
2025-02-14 09:15:00,2933.02,2933.89,2932.09,2933.44,1305
2025-02-14 09:20:00,2933.45,2933.47,2930.64,2931.22,1497
2025-02-14 09:25:00,2931.16,2933.17,2930.87,2932.43,2073
2025-02-14 09:30:00,2932.39,2934.26,2932.14,2933.89,1398
2025-02-14 09:35:00,2933.89,2933.95,2931.78,2932.62,865
2025-02-14 09:40:00,2932.63,2934.1,2932.05,2932.78,1084
2025-02-14 09:45:00,2932.79,2934.92,2932.57,2934.08,1072
2025-02-14 09:50:00,2934.08,2934.97,2933.41,2933.76,1040
2025-02-14 09:55:00,2933.72,2933.8,2930.85,2931.9,824
2025-02-14 10:00:00,2931.89,2932.54,2930.83,2931.93,1225
2025-02-14 10:05:00,2931.92,2934.3,2931.55,2934.03,1344
2025-02-14 10:10:00,2934.03,2935.83,2933.97,2935.83,1200
2025-02-14 10:15:00,2935.83,2937.17,2935.09,2936.91,1935
2025-02-14 10:20:00,2936.95,2938.53,2935.75,2936.86,1514
2025-02-14 10:25:00,2936.84,2937.23,2935.97,2936.56,1428
2025-02-14 10:30:00,2936.53,2937.07,2934.53,2935.24,1739
2025-02-14 10:35:00,2935.22,2936.15,2933.96,2935.7,2098
2025-02-14 10:40:00,2935.69,2935.77,2934.06,2934.59,1445
2025-02-14 10:45:00,2934.61,2935.93,2933.51,2935.71,1254
2025-02-14 10:50:00,2935.74,2935.99,2934.49,2935.26,1092
2025-02-14 10:55:00,2935.28,2935.87,2934.88,2935.07,1475
2025-02-14 11:00:00,2935.04,2936.83,2934.39,2936.76,1600
2025-02-14 11:05:00,2936.8,2937.02,2935.38,2936.99,1162
2025-02-14 11:10:00,2937.01,2937.45,2936.13,2937.43,1087
2025-02-14 11:15:00,2937.42,2937.9,2936.2,2937.3,1624
2025-02-14 11:20:00,2937.29,2937.63,2936.83,2937.59,1313
2025-02-14 11:25:00,2937.61,2938.1,2937.35,2937.74,1290
2025-02-14 11:30:00,2937.72,2938.64,2936.63,2937.83,1338
2025-02-14 11:35:00,2937.82,2938.27,2935.04,2935.11,1460
2025-02-14 11:40:00,2935.1,2935.32,2934.14,2934.62,1250
2025-02-14 11:45:00,2934.55,2934.87,2934.11,2934.66,1171
2025-02-14 11:50:00,2934.65,2935.66,2934.44,2935.6,1352
2025-02-14 11:55:00,2935.61,2935.64,2934.55,2935.1,1108
2025-02-14 12:00:00,2935.12,2936.01,2934.51,2934.86,1077
2025-02-14 12:05:00,2934.85,2935.2,2934.16,2935.13,979
2025-02-14 12:10:00,2935.18,2936.88,2934.97,2935.58,1535
2025-02-14 12:15:00,2935.56,2938.39,2935.39,2936.81,1753
2025-02-14 12:20:00,2936.82,2938.7,2936.49,2938.5,1303
2025-02-14 12:25:00,2938.51,2939.4,2938.15,2938.7,1668
2025-02-14 12:30:00,2938.74,2939.81,2937.85,2939.66,1737
2025-02-14 12:35:00,2939.62,2939.84,2938.16,2938.7,981
2025-02-14 12:40:00,2938.64,2938.89,2936.73,2937.35,1305
2025-02-14 12:45:00,2937.33,2937.53,2935.78,2936.03,1172
2025-02-14 12:50:00,2936.0,2936.49,2935.41,2935.97,900
2025-02-14 12:55:00,2936.0,2936.56,2935.7,2936.08,926
2025-02-14 13:00:00,2936.09,2937.52,2934.58,2937.21,1687
2025-02-14 13:05:00,2936.97,2936.97,2935.03,2935.47,1180
2025-02-14 13:10:00,2935.46,2935.8,2933.48,2935.2,1071
2025-02-14 13:15:00,2935.18,2935.7,2934.31,2935.47,798
2025-02-14 13:20:00,2935.53,2936.22,2935.05,2935.29,718
2025-02-14 13:25:00,2935.3,2936.26,2934.28,2934.36,1030
2025-02-14 13:30:00,2934.35,2934.99,2933.8,2934.2,889
2025-02-14 13:35:00,2934.18,2934.89,2933.66,2934.29,880
2025-02-14 13:40:00,2934.28,2934.45,2933.56,2934.06,1081
2025-02-14 13:45:00,2934.06,2934.06,2929.37,2930.13,1509
